Complexity,Loss,Equation
1,0.22270241,"1.1541014"
4,0.09646834,"sqrtabs(x1 + -1.483506)"
6,0.08177105,"logabs((x0 + -3.786681) + x1)"
7,0.07017022,"logabs(x1 + (tanh(x0) + -3.524015))"
8,0.06610064,"logabs((x1 + x0) + -4.078158) * 0.87918895"
9,0.065528356,"logabs((x1 + tanh(x0 + -0.8342168)) + -3.0092602)"
10,0.06297489,"logabs((x0 + x1) + -3.6824658) + (x2 * 0.14437753)"
11,0.062448464,"(tanh(x2) * 0.24656223) + logabs(x0 + (x1 + -3.6491191))"
12,0.058702312,"logabs((x1 + -3.5061784) + (x0 * 0.7788881)) + (x2 * 0.11027004)"
13,0.05807723,"(tanh(x2) * 0.19233675) + logabs(((x0 * 0.7834053) + x1) + -3.4780385)"
15,0.05768538,"logabs(((x0 * 0.72922367) + x1) + -3.5234182) / ((tanh(x2) * -0.14299981) + 1.0008657)"
17,0.05762134,"logabs((x1 + -3.2569497) + (x0 * 0.5781162)) / ((tanh(x1 + x2) * -0.12747537) + 0.92892015)"
18,0.057274323,"tanh(tanh((x2 + x1) * 0.13247874)) + (logabs(x1 + ((x0 * 0.49727172) + -2.9020247)) / 0.8340464)"
19,0.05658354,"((tanh((x2 + x1) * 0.3740435) * 0.34096503) + logabs((x1 + (x0 * 0.53781694)) + -2.9685745)) / 0.85807556"
20,0.05656948,"(logabs((x1 + -2.9706316) + (x0 * 0.5382979)) + (tanh(tanh((x2 + x1) * 0.2816896)) * 0.45780814)) / 0.8587244"
21,0.05611303,"sqrtabs(square((logabs((x1 + (x0 * 0.5473986)) + -2.951142) / 0.852721) + (tanh((x2 + x1) * 0.38609377) * 0.40513864)))"
22,0.05610815,"sqrtabs(square((logabs((x0 * 0.54655874) + (x1 + -2.9497795)) / 0.8523873) + tanh(tanh((x1 + x2) * 0.35991067) * 0.43588546)))"
23,0.05610447,"sqrtabs(square(((tanh((x1 * 0.3996777) + (x2 * 0.36070853)) * 0.35546204) + logabs((x1 + (x0 * 0.53320175)) + -2.9233322)) / 0.8445172))"
24,0.05607338,"square(sqrtabs(((tanh(tanh(x1 * 0.3957932) + (x2 * 0.3450206)) * 0.37036288) + logabs((x1 + -2.937724) + (x0 * 0.543041))) / 0.8494358))"
25,0.056064256,"square(sqrtabs((logabs(x1 + ((x0 * 0.57491946) + -2.976006)) / 0.8568485) + (tanh(((x1 + x2) * 0.3694835) + (x0 * 0.04548509)) * 0.40880767)))"
