Model,popsize,complexity,R2 Train,MSE Train,R2 Test,MSE Test
nii_6584_ew_mean,100,40,0.9962352759847058,0.0001334612427790465,0.9928789094470608,0.0002647143898264154
halpha_ew_mean,100,44,0.9991554440229442,0.00011967009852813765,0.9984254437879791,0.0002269065469551828
oiii_5007_ew_mean,100,24,0.9977324043291913,0.00027371638099006954,0.995290126321604,0.0005581782392694253
hbeta_ew_mean,100,34,0.9990657354940274,0.00010787402927806606,0.9980868737074252,0.00022538603593422969
nii_6584_ew_std,100,19,0.8680225452419735,0.00010810238164460106,0.7243293729123857,0.000286879840513628
halpha_ew_std,100,34,0.9638449346639377,9.522518815061492e-05,0.908918435052223,0.0002676270945870081
oiii_5007_ew_std,100,31,0.8790251673252467,0.00024532408808577516,0.7668239942012125,0.0005894443892132662
hbeta_ew_std,100,32,0.9539698510503752,9.783870354351837e-05,0.910662520707951,0.00020805337517095082
cov_nii_6584_ew_halpha_ew,100,35,0.9371440831877058,2.2782270543456154e-05,0.8512739098525989,6.604557704164282e-05
cov_nii_6584_ew_oiii_5007_ew,100,36,0.9452407780340415,3.0419215975874708e-05,0.8716569013061337,7.99784754892149e-05
cov_nii_6584_ew_hbeta_ew,100,32,0.9141310237643427,1.8351093629780423e-05,0.8281593662168896,4.42172738220737e-05
cov_halpha_ew_oiii_5007_ew,100,18,0.9391503756546573,4.6162967096686054e-05,0.8592769216698726,0.00011217174678557665
cov_halpha_ew_hbeta_ew,100,40,0.9592008387010161,2.6772608560889944e-05,0.9028358381109757,7.088247870185564e-05
cov_oiii_5007_ew_hbeta_ew,100,12,0.917788734655236,5.199525621257355e-05,0.8290275787576064,0.00011561907359930244
