Model,popsize,complexity,bic,R2 Train,MSE Train,R2 Test,MSE Test
nii_6584_ew_mean,800,27,-1306.628662109375,0.995391309261322,0.0001261434948708107,0.9881345440772425,0.00034119710194741926
halpha_ew_mean,800,35,-1273.8035888671875,0.9987441301345825,0.0001420302277714406,0.9962095253474446,0.0004372474642082798
oiii_5007_ew_mean,800,25,-1213.8203125,0.9978872537612915,0.00023419212870729554,0.9933595843059034,0.0007246115040767461
hbeta_ew_mean,800,36,-1293.702392578125,0.9986128807067871,0.00012861009226851846,0.9959157311347326,0.00038706532989725683
nii_6584_ew_std,800,29,-1330.130126953125,0.9490933418273926,0.00010088025251459961,0.8505966914556854,0.00030210211609825964
halpha_ew_std,800,24,-1317.3912353515625,0.987867534160614,0.00011355235459902205,0.965663124879531,0.00034143321646535436
oiii_5007_ew_std,800,28,-1176.9464111328125,0.8163543343544006,0.00028961787755135275,0.6259144995826151,0.0007168162626981264
hbeta_ew_std,800,40,-1311.1805419921875,0.9852011203765869,0.00010354971218443131,0.960176701642925,0.0002955140546102837
cov_nii_6584_ew_halpha_ew,800,35,-1529.1785888671875,0.9818076491355896,2.5881807132484446e-05,0.930894903646125,0.00011354923664178433
cov_nii_6584_ew_oiii_5007_ew,800,25,-1507.6826171875,0.9579455256462097,3.193346945892536e-05,0.8767529170402862,0.00011030960119361002
cov_nii_6584_ew_hbeta_ew,800,25,-1550.2550048828125,0.9744552373886108,2.3253001761511736e-05,0.9225686160231297,7.941491714651413e-05
cov_halpha_ew_oiii_5007_ew,800,28,-1408.3311767578125,0.9619370102882385,5.989506954593259e-05,0.8640683114174954,0.00024743085384710666
cov_halpha_ew_hbeta_ew,800,34,-1457.7216796875,0.9886050820350647,4.167575629524579e-05,0.9581567984276235,0.00016854736098530863
cov_oiii_5007_ew_hbeta_ew,800,40,-1410.5543212890625,0.9551974534988403,5.338660092534083e-05,0.8608685620574337,0.00018576869090732135
