Model,popsize,complexity,R2 Train,MSE Train,R2 Test,MSE Test
nii_6584_ew_mean,4500,30,0.9953422854777517,0.00012748489015437884,0.9880740003120693,0.00034293806810603957
halpha_ew_mean,4500,31,0.9983787770079687,0.0001833470086713991,0.9962304020515704,0.0004348392470912234
oiii_5007_ew_mean,4500,29,0.9978826738482487,0.0002347015510158266,0.9933687128877863,0.0007236153803771322
hbeta_ew_mean,4500,38,0.9986739498893538,0.00012294957472928493,0.9959529002421721,0.0003835428211429051
nii_6584_ew_std,4500,18,0.9395073644514453,0.00011987649328249859,0.8440908482813303,0.0003152573066300215
halpha_ew_std,4500,35,0.9871123806669097,0.00012062009947648162,0.9632897455654178,0.00036503322462762695
oiii_5007_ew_std,4500,28,0.8147409834585962,0.000292162098158933,0.6332712531951183,0.00070271937676103
hbeta_ew_std,4500,47,0.984616195279549,0.00010764269775586178,0.9599800034765068,0.0002969736793799716
cov_nii_6584_ew_halpha_ew,4500,48,0.981221162483089,2.6716141777593934e-05,0.9279222739963406,0.00011843367853335306
cov_nii_6584_ew_oiii_5007_ew,4500,27,0.9530647089142157,3.563965724635246e-05,0.8859104050692459,0.00010211339217874844
cov_nii_6584_ew_hbeta_ew,4500,44,0.9716984435136024,2.5762484322936314e-05,0.9179073009733831,8.419563950296839e-05
cov_halpha_ew_oiii_5007_ew,4500,58,0.9622624682125654,5.938288913113742e-05,0.8666163847468681,0.00024279270091804138
cov_halpha_ew_hbeta_ew,4500,34,0.9862721138106783,5.020847350652494e-05,0.9550965541314952,0.0001808742403994134
cov_oiii_5007_ew_hbeta_ew,4500,30,0.9405676890544077,7.081939336532335e-05,0.856742247553135,0.000191278157747245
