Model,popsize,complexity,R2 Train,MSE Train,R2 Test,MSE Test
nii_6584_ew_mean,2500,33,0.9959531046927271,0.00014346434822609964,0.9928516121819781,0.00026572911907561593
halpha_ew_mean,2500,48,0.9989764185002187,0.00014503727669707534,0.9981567794524975,0.00026562329532449217
oiii_5007_ew_mean,2500,23,0.9977232721465205,0.0002748187062517436,0.9952346432320218,0.000564753671089233
hbeta_ew_mean,2500,35,0.9988696494642406,0.0001305149302038944,0.9980970327987103,0.00022418919005827719
nii_6584_ew_std,2500,25,0.8681895152923471,0.00010796561692109736,0.7255104906194765,0.00028565069665083145
halpha_ew_std,2500,27,0.962924291215363,9.764997828154885e-05,0.9080511257695332,0.00027017552975682233
oiii_5007_ew_std,2500,27,0.8691282279381717,0.00026539402805834825,0.7637399833468359,0.0005972404439066198
hbeta_ew_std,2500,19,0.951452958635899,0.0001031884470575002,0.9060253973894672,0.0002188525287304618
cov_nii_6584_ew_halpha_ew,2500,37,0.9340586452688499,2.3900594560944134e-05,0.8536268706801846,6.500068535209282e-05
cov_nii_6584_ew_oiii_5007_ew,2500,23,0.937941671649717,3.44739319773855e-05,0.8725271870342737,7.94361469457637e-05
cov_nii_6584_ew_hbeta_ew,2500,26,0.9040193612455942,2.0512061114999386e-05,0.8297456488189207,4.380909858069436e-05
cov_halpha_ew_oiii_5007_ew,2500,29,0.9541325667743881,3.47968756353617e-05,0.8522400628785503,0.00011778089598748885
cov_halpha_ew_hbeta_ew,2500,39,0.958723367352645,2.708592758760482e-05,0.9108176857036462,6.505962044846874e-05
cov_oiii_5007_ew_hbeta_ew,2500,31,0.9393570383715681,3.835418800740311e-05,0.8425996554198738,0.00010644103822314445
