Model,popsize,complexity,bic,R2 Train,MSE Train,R2 Test,MSE Test
nii_6584_ew_mean,200,26,-1304.4202880859375,0.9954766035079956,0.0001238086691373815,0.9874542131445638,0.00036076035717387507
halpha_ew_mean,200,36,-1270.849853515625,0.9987191557884216,0.00014485480874740182,0.9960832299435635,0.000451816179250585
oiii_5007_ew_mean,200,27,-1212.9677734375,0.9978752136230469,0.00023552686519019733,0.9934127882167457,0.0007188058184639475
hbeta_ew_mean,200,41,-1289.0487060546875,0.9986162185668945,0.00012830444694211113,0.9957830352533378,0.0003996408915956811
nii_6584_ew_std,200,13,-1329.11083984375,0.9373718500137329,0.00012410832148445155,0.8432611116523717,0.0003169350820009618
halpha_ew_std,200,30,-1318.2431640625,0.9883325695991516,0.00010919990052652299,0.9639291750036652,0.0003586749742324622
oiii_5007_ew_std,200,21,-1178.55859375,0.8183174729347229,0.0002865218266215553,0.6183382921053588,0.0007313336623920817
hbeta_ew_std,200,32,-1312.28564453125,0.9842948317527771,0.00010989148636467367,0.9620405990105148,0.00028168275757569223
cov_nii_6584_ew_halpha_ew,200,37,-1532.2392578125,0.9833270311355591,2.3720213727757307e-05,0.9286394208281689,0.00011725530704397437
cov_nii_6584_ew_oiii_5007_ew,200,25,-1508.6583251953125,0.9567989110946655,3.280413132389889e-05,0.8774532204528342,0.00010968280996823117
cov_nii_6584_ew_hbeta_ew,200,38,-1547.00048828125,0.9755820035934448,2.2227344788614888e-05,0.9211756588344022,8.084355724113606e-05
cov_halpha_ew_oiii_5007_ew,200,38,-1405.4136962890625,0.9648902416229248,5.524792665342066e-05,0.8688202097624004,0.00023878116901544308
cov_halpha_ew_hbeta_ew,200,30,-1458.880126953125,0.9883086681365967,4.2759895511373336e-05,0.9568903689154008,0.00017364862819570196
cov_oiii_5007_ew_hbeta_ew,200,30,-1423.8056640625,0.9546624422073364,5.402409832243271e-05,0.8516167977911084,0.00019812167281963266
