Model,popsize,complexity,bic,R2 Train,MSE Train,R2 Test,MSE Test
nii_6584_ew_mean,300,27,-1305.9654541015625,0.9953708648681641,0.00012670239003177838,0.9880807449506641,0.00034274412265992835
halpha_ew_mean,300,36,-1269.716064453125,0.9987518191337585,0.00014115890683783018,0.9960792937461331,0.00045227023646051605
oiii_5007_ew_mean,300,26,-1213.822021484375,0.9978873133659363,0.00023418936390925483,0.9933914268418793,0.0007211368017463445
hbeta_ew_mean,300,31,-1291.2164306640625,0.9985896944999695,0.0001307593098182129,0.9961118854543258,0.0003684758249139391
nii_6584_ew_std,300,32,-1327.480224609375,0.949888288974762,9.930496344236215e-05,0.8482106547559031,0.00030692682006978206
halpha_ew_std,300,30,-1318.626708984375,0.9883623719215393,0.00010892103944727731,0.9637815263146864,0.00036014313831577067
oiii_5007_ew_std,300,26,-1184.131591796875,0.818997323513031,0.0002854496609474289,0.6209036235593286,0.0007264180179648992
hbeta_ew_std,300,37,-1314.833984375,0.9850666522979736,0.00010449088676480508,0.9602126937513984,0.0002952469704071229
cov_nii_6584_ew_halpha_ew,300,27,-1530.60498046875,0.9807347655296326,2.740813542727939e-05,0.9298580501259679,0.00011525293046373192
cov_nii_6584_ew_oiii_5007_ew,300,29,-1507.9677734375,0.9594044089317322,3.0825704314512064e-05,0.8814071223807398,0.00010614395667976448
cov_nii_6584_ew_hbeta_ew,300,30,-1553.4337158203125,0.9741413593292236,2.3538730612242544e-05,0.9225238006176508,7.946088057284327e-05
cov_halpha_ew_oiii_5007_ew,300,34,-1406.9075927734375,0.9628364443778992,5.8479690768485415e-05,0.870915200788313,0.0002349677431413949
cov_halpha_ew_hbeta_ew,300,31,-1456.29296875,0.9884960651397705,4.207460395502415e-05,0.9587001853803276,0.00016635856009458976
cov_oiii_5007_ew_hbeta_ew,300,35,-1417.2908935546875,0.9542055130004883,5.456858460775508e-05,0.8596335288318493,0.00018741771077613467
