Model,popsize,complexity,bic,R2 Train,MSE Train,R2 Test,MSE Test
nii_6584_ew_mean,900,27,-1306.0550537109375,0.9953736662864685,0.00012662661801253746,0.988169463640488,0.0003401929724931317
halpha_ew_mean,900,39,-1267.8641357421875,0.9986934065818787,0.00014776699401272824,0.9963077097741827,0.0004259214706187803
oiii_5007_ew_mean,900,26,-1210.3173828125,0.9978373646736145,0.00023972537812727308,0.9933576007373267,0.0007248279538708565
hbeta_ew_mean,900,36,-1289.3143310546875,0.9986640214920044,0.00012386978577425502,0.9956632436533592,0.0004109935171681383
nii_6584_ew_std,900,25,-1326.4749755859375,0.9442337155342102,0.00011051044538087996,0.8437150329048099,0.0003160172270201073
halpha_ew_std,900,27,-1319.15185546875,0.9884030222892761,0.00010854038266592224,0.9644717812853701,0.0003532794975798297
oiii_5007_ew_std,900,26,-1179.7283935546875,0.8136051893234253,0.00029395332966757537,0.630897999877,0.0007072669643366817
hbeta_ew_std,900,32,-1312.601318359375,0.9843278527259827,0.0001096604406344822,0.9612314417334259,0.0002876872162125907
cov_nii_6584_ew_halpha_ew,900,27,-1525.739501953125,0.9807534217834473,2.7381605021838813e-05,0.9300915492754472,0.00011486925904760201
cov_nii_6584_ew_oiii_5007_ew,900,26,-1508.6748046875,0.9582227468490601,3.172296530999795e-05,0.8810685245033494,0.00010644701129106218
cov_nii_6584_ew_hbeta_ew,900,32,-1548.5760498046875,0.9750163555145264,2.274222277145682e-05,0.9192804500287421,8.278731495986414e-05
cov_halpha_ew_oiii_5007_ew,900,34,-1408.554443359375,0.96324223279953,5.784115898572776e-05,0.867899149221374,0.00024045773758078325
cov_halpha_ew_hbeta_ew,900,29,-1453.796142578125,0.9883029460906982,4.278083627927045e-05,0.9575955885813789,0.00017080795374563713
cov_oiii_5007_ew_hbeta_ew,900,32,-1418.672119140625,0.9546252489089966,5.4068391459156396e-05,0.8557581406826058,0.00019259214003445875
