Model,popsize,complexity,R2 Train,MSE Train,R2 Test,MSE Test
nii_6584_ew_mean,2000,30,0.9903988546123186,0.00015677791739600466,0.966210404977942,0.0005627099446680917
halpha_ew_mean,2000,21,0.9963214341642608,0.00025828882619247806,0.989807530127554,0.0007168268536483813
oiii_5007_ew_mean,2000,23,0.9960903592425562,0.00035885906457911907,0.9901670260108155,0.0008771131110710702
hbeta_ew_mean,2000,22,0.9967063862121942,0.00019790035220648816,0.989667356597233,0.000625383340683733
nii_6584_ew_std,2000,21,0.9623538245588189,0.00014035193821693734,0.9250033090505629,0.0003151082038581157
halpha_ew_std,2000,22,0.9678935795686775,0.0001826454498477421,0.9355040435293261,0.00039890209696627504
oiii_5007_ew_std,2000,37,0.9313222656734782,0.00022096903899850937,0.8592637324406538,0.0005444199069019573
hbeta_ew_std,2000,26,0.9571146163449143,0.00015300683479019952,0.9139333395408864,0.0003314713021272065
cov_nii_6584_ew_halpha_ew,2000,18,0.9681688281441141,6.962256797286307e-05,0.9397663121965254,0.0001492063409754069
cov_nii_6584_ew_oiii_5007_ew,2000,38,0.9069981859715028,4.7534198632971436e-05,0.7846467450845701,0.00011069381750820194
cov_nii_6584_ew_hbeta_ew,2000,22,0.9632817172253636,4.922956020217653e-05,0.9293283372635649,0.00010377176304315769
cov_halpha_ew_oiii_5007_ew,2000,32,0.9424853402041842,8.600218440233125e-05,0.9082309417320592,0.00014974583752531994
cov_halpha_ew_hbeta_ew,2000,23,0.9633092733359943,8.770181123393684e-05,0.9287667425162976,0.00018624176194438884
cov_oiii_5007_ew_hbeta_ew,2000,30,0.9487340575506533,6.953225275320112e-05,0.9176467950143673,0.00012017792150231553
