Model,popsize,complexity,bic,R2 Train,MSE Train,R2 Test,MSE Test
hbeta_ew_std,990,20,-1281.4271240234375,0.956754982471466,0.0001542898887146,0.9139548598530096,0.0003313884202558
cov_nii_6584_ew_halpha_ew,990,22,-1400.884765625,0.9692342281341552,6.72922865551379e-05,0.9408015783859616,0.0001466418577817
cov_nii_6584_ew_oiii_5007_ew,990,32,-1447.3887939453125,0.9066101312637328,4.773253636335986e-05,0.7803401046957754,0.0001129074755532
cov_nii_6584_ew_hbeta_ew,990,22,-1454.3253173828125,0.963658571243286,4.872432744212017e-05,0.928460555965826,0.000105045982323
cov_halpha_ew_oiii_5007_ew,990,27,-1366.37841796875,0.9452186226844788,8.191508542862967e-05,0.907368665741978,0.0001511528721266
cov_halpha_ew_hbeta_ew,990,16,-1370.3607177734375,0.9631104469299316,8.817705177611484e-05,0.9303897416141664,0.0001819983758871
cov_oiii_5007_ew_hbeta_ew,990,24,-1392.151123046875,0.9491388201713562,6.898330925799017e-05,0.9119399705236712,0.0001285058828219
nii_6584_ew_mean,590,23,-1273.164794921875,0.9903441667556764,0.000157671158234,0.9684827775604502,0.0005248673292317
halpha_ew_mean,590,24,-1206.6484375,0.9965012669563292,0.0002456612020656,0.9893709805752758,0.0007475289745216
oiii_5007_ew_mean,590,34,-1158.3641357421875,0.99676913022995,0.000296554848572,0.9892232245473624,0.0009613013372123
hbeta_ew_mean,590,23,-1242.5120849609375,0.9967809319496156,0.0001934197533456,0.9894911896557608,0.0006360458464996
nii_6584_ew_std,590,20,-1293.695068359375,0.961865246295929,0.0001421734170029,0.9262464045003882,0.0003098851790891
halpha_ew_std,590,20,-1252.8834228515625,0.9671932458877563,0.0001866293921011,0.9381591977530216,0.0003824801901435
oiii_5007_ew_std,590,27,-1217.7266845703125,0.9336665868759156,0.0002134262043103,0.8596249186360987,0.0005430227051833
hbeta_ew_std,590,20,-1280.765380859375,0.9565637707710266,0.0001549720804821,0.9134717999377516,0.0003332488444695
cov_nii_6584_ew_halpha_ew,590,20,-1401.4007568359375,0.9672215580940248,7.169444266629073e-05,0.9361357464012314,0.0001581997042865
cov_nii_6584_ew_oiii_5007_ew,590,28,-1444.9970703125,0.9051090478897096,4.849974779373032e-05,0.7893386778112007,0.0001082821151858
cov_nii_6584_ew_hbeta_ew,590,22,-1454.31689453125,0.963656485080719,4.87270989507583e-05,0.9283056971298602,0.0001052733715454
cov_halpha_ew_oiii_5007_ew,590,32,-1363.1141357421875,0.9458526968955994,8.096693432918396e-05,0.9075279784803788,0.0001508929106549
cov_halpha_ew_hbeta_ew,590,16,-1370.3583984375,0.9631099104881288,8.817838476447796e-05,0.930389594106396,0.0001819987615511
cov_oiii_5007_ew_hbeta_ew,590,25,-1391.191162109375,0.9488122463226318,6.942622424910771e-05,0.915283315824053,0.0001236269435125
nii_6584_ew_mean,730,35,-1275.9627685546875,0.991707980632782,0.0001354010335697,0.970182933315782,0.0004965540407657
halpha_ew_mean,730,19,-1208.799560546875,0.9965510964393616,0.0002421637165665,0.9891700593282778,0.0007616595775177
oiii_5007_ew_mean,730,28,-1154.74560546875,0.9963414072990416,0.0003358178095204,0.9895853393821878,0.0009290002582419
hbeta_ew_mean,730,24,-1242.2015380859375,0.9967742562294006,0.0001938205876584,0.9896346786014892,0.0006273611766883
nii_6584_ew_std,730,20,-1296.8656005859375,0.9626628756523132,0.0001391997438445,0.9256615631969398,0.0003123424647418
halpha_ew_std,730,23,-1253.8297119140625,0.9673995971679688,0.0001854557147363,0.9395280736782384,0.0003740138070253
oiii_5007_ew_std,730,28,-1217.1453857421875,0.9334090948104858,0.0002142546599251,0.8603781954736865,0.0005401087519224
hbeta_ew_std,730,13,-1290.0101318359375,0.956338346004486,0.0001557765006379,0.9149814404461052,0.0003274347173455
cov_nii_6584_ew_halpha_ew,730,22,-1405.2537841796875,0.970117449760437,6.536049249279803e-05,0.937526413598119,0.0001547548485666
cov_nii_6584_ew_oiii_5007_ew,730,29,-1447.3778076171875,0.906603217124939,4.773607935922416e-05,0.7797809064156628,0.0001131949092973
cov_nii_6584_ew_hbeta_ew,730,20,-1453.00048828125,0.963336169719696,4.915658442611787e-05,0.9300722608689832,0.0001026794120057
