Model,popsize,complexity,R2 Train,MSE Train,R2 Test,MSE Test
nii_6584_ew_mean,1500,25,0.9952963203713071,0.00012874298712834084,0.9880256060853804,0.00034432966822699066
halpha_ew_mean,1500,53,0.9988132272395427,0.00013421425471515415,0.9962464850699114,0.00043298400213353323
oiii_5007_ew_mean,1500,26,0.9978815743691091,0.00023482342617387028,0.9933596672002556,0.0007246024585284061
hbeta_ew_mean,1500,35,0.9984934330293723,0.00013968685410355893,0.9960722703476238,0.00037223014052105863
nii_6584_ew_std,1500,19,0.9411433921809926,0.00011663442480006929,0.8471046876044263,0.00030916314950620277
halpha_ew_std,1500,43,0.9884930547356265,0.00010769784912062041,0.9645215387817161,0.00035278472739584953
oiii_5007_ew_std,1500,24,0.8171825776031985,0.00028831159046728653,0.6165834783211561,0.0007346962066690449
hbeta_ew_std,1500,41,0.9843681743143314,0.00010937813617835716,0.9600613588791951,0.00029636997084992226
cov_nii_6584_ew_halpha_ew,1500,38,0.9805164967486527,2.771865056707886e-05,0.9266611309775599,0.0001205059110405672
cov_nii_6584_ew_oiii_5007_ew,1500,30,0.9570082989688012,3.264514726006788e-05,0.8829136645202037,0.00010479555914698104
cov_nii_6584_ew_hbeta_ew,1500,35,0.9744985270008362,2.321361013018848e-05,0.9188244708657869,8.325497478443153e-05
cov_halpha_ew_oiii_5007_ew,1500,46,0.9635881270972081,5.7296863605783485e-05,0.8729176920533817,0.0002313226907720457
cov_halpha_ew_hbeta_ew,1500,32,0.9878415312491966,4.446847444215203e-05,0.9594646446930566,0.0001632792641779464
cov_oiii_5007_ew_hbeta_ew,1500,53,0.955435095294687,5.310342920205394e-05,0.855234349337151,0.00019329150772584921
