Model,popsize,complexity,R2 Train,MSE Train,R2 Test,MSE Test
nii_6584_ew_mean,1500,26,0.9903450696241232,0.0001576561770302433,0.9680739142514786,0.0005316762729263705
halpha_ew_mean,1500,20,0.9963402189471596,0.0002569698612094122,0.9896444303227788,0.0007282975100595039
oiii_5007_ew_mean,1500,29,0.9962828217383173,0.0003411932698219125,0.9894383158453759,0.0009421149346272843
hbeta_ew_mean,1500,28,0.9967660927847679,0.00019431281811699825,0.9899242954267804,0.0006098321155702559
nii_6584_ew_std,1500,17,0.9612369139033363,0.0001445159887074593,0.925642853768022,0.00031242107480409733
halpha_ew_std,1500,19,0.9669471129517856,0.00018802966330678733,0.9369729285349703,0.0003898171660494015
oiii_5007_ew_std,1500,39,0.9328779750491957,0.00021596357967338281,0.8599000699794999,0.0005419583180758169
hbeta_ew_std,1500,21,0.9559616575343435,0.00015712037099329694,0.9136468936409213,0.00033257450044980793
cov_nii_6584_ew_halpha_ew,1500,20,0.9681469173178285,6.967049231568383e-05,0.9394458188333875,0.00015000024292238253
cov_nii_6584_ew_oiii_5007_ew,1500,35,0.9052671014751053,4.841897400172936e-05,0.7888474363025213,0.00010853461844120481
cov_nii_6584_ew_hbeta_ew,1500,18,0.9635037049501234,4.893193304659074e-05,0.9284384436183595,0.00010507845130982912
cov_halpha_ew_oiii_5007_ew,1500,29,0.9449062014160359,8.238224901380157e-05,0.9050916509465051,0.0001548684326220873
cov_halpha_ew_hbeta_ew,1500,27,0.9650653425157315,8.350428063920642e-05,0.9275734556733912,0.00018936165077130084
cov_oiii_5007_ew_hbeta_ew,1500,28,0.9438727639591658,7.612564943258156e-05,0.9140539919644652,0.00012542089417083197
