Model,popsize,complexity,bic,R2 Train,MSE Train,R2 Test,MSE Test
oiii_5007_ew_std,520,24,-1199.5079345703125,0.8771264553070068,0.0002491743982464,0.7617788289857561,0.0006021980356217
hbeta_ew_std,520,19,-1346.2550048828125,0.95288348197937,0.0001001477882083,0.9090269784366232,0.0002118623038812
cov_nii_6584_ew_halpha_ew,520,29,-1551.1378173828125,0.9362217783927916,2.3116558813577992e-05,0.8591742240422823,6.253724296958601e-05
cov_nii_6584_ew_oiii_5007_ew,520,41,-1521.9473876953125,0.95426744222641,2.5404824893650395e-05,0.842967862877637,9.785637917171588e-05
cov_nii_6584_ew_hbeta_ew,520,25,-1586.5689697265625,0.9116877317428588,1.8873253657013756e-05,0.8224195834690563,4.569420939809405e-05
cov_halpha_ew_oiii_5007_ew,520,21,-1489.820556640625,0.9509732127189636,3.719370234008793e-05,0.8694287164306347,0.0001040796515526
cov_halpha_ew_hbeta_ew,520,32,-1530.00439453125,0.9580647945404052,2.7518074050414556e-05,0.9080353350040145,6.708938029380142e-05
cov_oiii_5007_ew_hbeta_ew,520,30,-1494.7486572265625,0.9467703104019164,3.3665617805578414e-05,0.8195778644457155,0.0001220093861805
nii_6584_ew_mean,530,34,-1284.0479736328125,0.996258020401001,0.0001326539892561,0.9932140031656586,0.0002522578526438
halpha_ew_mean,530,39,-1284.264404296875,0.9991543292999268,0.0001198317602841,0.9983480991047952,0.0002380525542254
oiii_5007_ew_mean,530,24,-1191.6856689453125,0.9977513551712036,0.0002714300702462,0.9951573096391884,0.0005739186575902
hbeta_ew_mean,530,34,-1312.3011474609375,0.999048352241516,0.000109880078754,0.9980512004149528,0.0002295887182194
nii_6584_ew_std,530,26,-1335.1512451171875,0.8768483996391296,0.0001008731711429,0.7416528970440057,0.0002688519138806
halpha_ew_std,530,32,-1339.4114990234375,0.9639959931373596,9.482737084428412e-05,0.9075370308398016,0.0002716861069242
oiii_5007_ew_std,530,25,-1195.432373046875,0.8737422227859497,0.0002560372807345,0.7708457227486963,0.0005792778829334
hbeta_ew_std,530,22,-1343.6910400390625,0.9520711302757264,0.0001018744678908,0.910233018206874,0.0002090536210442
cov_nii_6584_ew_halpha_ew,530,38,-1551.89990234375,0.9386296272277832,2.224384084422733e-05,0.859964845668989,6.218614746572585e-05
cov_nii_6584_ew_oiii_5007_ew,530,33,-1507.9366455078125,0.9444974660873412,3.083213277703327e-05,0.875732505172777,7.743871614672318e-05
cov_nii_6584_ew_hbeta_ew,530,38,-1585.2269287109375,0.916652500629425,1.7812216090846797e-05,0.8218398852706555,4.584337478120826e-05
cov_halpha_ew_oiii_5007_ew,530,20,-1492.9615478515625,0.950358271598816,3.766018691936661e-05,0.8700396465968926,0.0001035926731214
cov_halpha_ew_hbeta_ew,530,21,-1527.87744140625,0.9545272588729858,2.9839429075513533e-05,0.9081751337033288,6.698739538358285e-05
cov_oiii_5007_ew_hbeta_ew,530,28,-1493.6962890625,0.9445746541023254,3.50542475295303e-05,0.8127632974021116,0.0001266176962392
nii_6584_ew_mean,180,30,-1279.56591796875,0.9960135817527772,0.0001413202252724,0.9928672376539968,0.0002651482688167
halpha_ew_mean,180,46,-1284.587158203125,0.99915611743927,0.0001195741728716,0.998379995141305,0.000233456072086
oiii_5007_ew_mean,180,26,-1185.4173583984375,0.997732400894165,0.0002737156787309,0.9952616709939868,0.0005615505472657
hbeta_ew_mean,180,37,-1308.8448486328125,0.9990261793136596,0.0001124413406633,0.997980819461551,0.0002378803214209
nii_6584_ew_std,180,20,-1334.170654296875,0.867476224899292,0.0001085499137558,0.7252896470519753,0.0002858805200748
halpha_ew_std,180,30,-1339.1619873046875,0.962710976600647,9.821178238535808e-05,0.9082339621919692,0.0002696382972164
oiii_5007_ew_std,180,24,-1194.7052001953125,0.8731286525726318,0.0002572815787422,0.769016741861036,0.0005839013540256
hbeta_ew_std,180,26,-1348.390380859375,0.95507550239563,9.548860946423311e-05,0.9092774222227068,0.0002112790584685
cov_nii_6584_ew_halpha_ew,180,20,-1555.7801513671875,0.9293258786201476,2.5616009434852496e-05,0.8567979874450142,6.359247085259224e-05
cov_nii_6584_ew_oiii_5007_ew,180,39,-1523.1771240234375,0.9531000256538392,2.6053341415186923e-05,0.8460225246959941,9.595283158829611e-05
cov_nii_6584_ew_hbeta_ew,180,34,-1588.8206787109375,0.9158614873886108,1.798126559060703e-05,0.8234041856609374,4.544085590558324e-05
cov_halpha_ew_oiii_5007_ew,180,31,-1499.489990234375,0.9570044875144958,3.261811527687891e-05,0.8506973727417015,0.0001190105894354
cov_halpha_ew_hbeta_ew,180,27,-1533.23583984375,0.957564413547516,2.7846422440447888e-05,0.9036577241490896,7.028290249536799e-05
cov_oiii_5007_ew_hbeta_ew,180,32,-1502.61962890625,0.9494913816452026,3.194464884862393e-05,0.8231673245318041,0.0001195820353431
nii_6584_ew_mean,880,37,-1284.8189697265625,0.9962772130966188,0.0001319739109542,0.9931860795621096,0.0002532958649567
halpha_ew_mean,880,43,-1282.27685546875,0.9991430044174194,0.000121430078497,0.9983866798991246,0.0002324927433065
oiii_5007_ew_mean,880,22,-1186.800048828125,0.9976769089698792,0.0002804164792608,0.9950596528906118,0.0005854921892166
