Model,popsize,complexity,R2 Train,MSE Train,R2 Test,MSE Test
nii_6584_ew_mean,4000,28,0.9898920127636219,0.00016505418093324452,0.9688484543928856,0.0005187775850365094
halpha_ew_mean,4000,20,0.9962973248745561,0.0002599816489979432,0.989921442145531,0.0007088155281834882
oiii_5007_ew_mean,4000,26,0.996061389098213,0.0003615181832922434,0.989687729673555,0.0009198669210538827
hbeta_ew_mean,4000,22,0.996540533172938,0.0002078658117284397,0.9898445087264448,0.0006146612063704529
nii_6584_ew_std,4000,23,0.9618921971271729,0.0001420729710710409,0.9263668729411821,0.0003093790155035457
halpha_ew_std,4000,22,0.9673941795390494,0.00018548641255364403,0.9388177018488618,0.00037840739738160374
oiii_5007_ew_std,4000,32,0.9273503284589033,0.0002337486561171263,0.8551843478114064,0.000560200474616215
hbeta_ew_std,4000,26,0.9563490279898816,0.00015573830740329097,0.9144818687452241,0.00032935873393126713
cov_nii_6584_ew_halpha_ew,4000,20,0.9678742129110913,7.02669636357006e-05,0.9396553562175824,0.00014948119274409542
cov_nii_6584_ew_oiii_5007_ew,4000,45,0.8944072247848404,5.396957041876753e-05,0.7780705448375936,0.00011407405297444585
cov_nii_6584_ew_hbeta_ew,4000,24,0.9632758404757901,4.923743937775501e-05,0.9296903143734133,0.00010324024869333504
cov_halpha_ew_oiii_5007_ew,4000,28,0.9388974483295054,9.13671911626459e-05,0.9042380808337663,0.00015626126124898088
cov_halpha_ew_hbeta_ew,4000,18,0.9632074882141329,8.7945108119977e-05,0.9297488565125982,0.00018367399167018626
cov_oiii_5007_ew_hbeta_ew,4000,22,0.9402348071719477,8.105982831915903e-05,0.9137537362597887,0.00012585905691766774
