algorithm,time,target,r2_train,mse_train,r2_test,mse_test,complexity,equation
Operon,505,nii_6584_ew,-0.977337993897782,0.23351871702120355,-0.9524529152989798,0.23398233540409905,45,(0.002606 + (0.996683 * (tanh(((0.077936 * X1) - (exp((((-0.271858) * X1) + ((-0.019098) * X2))) - (0.131030 * X2)))) * ((((-0.427684) - ((-0.107995) * X2)) - tanh(tanh(tanh((((-1.328173) * X2) + (((-0.432662) * X1) - (-2.127431))))))) + tanh(((-0.319495) * X3))))))
Operon,520,halpha_ew,-0.6397095795539007,0.3651672765219436,-0.6355241951821184,0.36916434306666845,45,(0.000002 + (1.000014 * (((((-0.081219) * X1) + 0.580006) - (0.267313 * X2)) + ((((((-0.139236) * X2) + tanh((exp((0.684207 * X2)) - (3.682252 - (0.844269 * X1))))) ** 2) * (0.693349 - (0.090178 * X1))) * (exp((0.189691 * X3)) + ((-0.194274) * X2))))))
Operon,448,oiii_5007_ew,-0.3997353900862821,0.39080184750299685,-0.4064342546397479,0.38694125204199925,48,((-0.000291) + (1.000488 * ((exp(tanh((((-0.266326) * X1) - (0.910202 * X3)))) * ((((((-0.066737) * X1) + ((-0.082043) * X2)) + (0.039328 * X3)) / (sqrt(1 + (1.549313 * X2) ** 2))) + 0.106319)) + ((((-0.168337) * X2) + ((-0.143088) * X1)) + sqrt(abs((((-0.026490) * X3) - (0.034921 * X2))))))))
Operon,539,hbeta_ew,-0.6218104551223451,0.30141379318301853,-0.6198074412944483,0.30416723558859576,45,(0.000210 + (0.999677 * ((log(abs(((0.255888 * X2) - (((-0.367387) * X1) + 2.019824)))) - ((((0.076873 * X2) - (-0.387060)) / (sqrt(1 + exp((1.412965 * X3)) ** 2))) / (sqrt(1 + (2.406575 - ((-0.848295) * X3)) ** 2)))) + (((-0.394406) * X2) / (sqrt(1 + (((1.748046 * X1) + (2.480933 * X2)) + (-5.357838)) ** 2))))))
PySR,4843,nii_6584_ew,0.5364264761666221,0.05474688437922407,0.5422661127292279,0.0548549176771371,23,0.936966*exp(-0.0934747*x1 + 0.297551*x2 - 0.297551*exp(x1 + tanh(x0 - 0.943658)) - 0.126355*tanh(x0))
PySR,4121,halpha_ew,0.7482548321845922,0.05606425580176358,0.7520559539686762,0.05596499344985429,25,Abs(1.16707*log(Abs(0.574919*x0 + x1 - 2.976006)) + 0.408808*tanh(0.045485*x0 + 0.369484*x1 + 0.369484*x2))
PySR,3580,oiii_5007_ew,0.5883854758892513,0.11492151846759537,0.589479661134962,0.11294324877619796,25,-0.231722*x1 + 0.316125*tanh(0.239155*(0.457344*x0 + x1 + x2)**2) - tanh(tanh(0.25747*x0)) + 0.182031
PySR,4434,hbeta_ew,0.7198473287003048,0.05206642925509222,0.7272891666032354,0.05120960565724269,25,tanh((0.256849*tanh(0.32004*x1 + 0.32004*x2 - 0.3795217) + 0.389901)*(-x0 - x1 + 2.372494)) - tanh(tanh(0.146189*x1))
