modelo,SF,Composite,AGN
Validation Set,73.52567159434112,15.951359084406295,10.522969321252583
RandomForest,73.58395591585864,18.24299263498119,8.173051449160177
Operon,72.7838711386637,20.288242462777514,6.927886398558788
PySR,68.42844274890055,25.50733852593652,6.064218725162931
GaussianMixture,52.008159805012454,18.817887988131194,29.173952206856356
