Complexity,Loss,Equation
1,0.118097514,"0.7059416"
4,0.09135795,"tanh(1.455545 - x1)"
5,0.08492237,"tanh(logabs(x1 + -2.68949))"
6,0.08315862,"tanh(x1 + -1.5948993) * -0.8710865"
7,0.07618385,"tanh(exp((x2 - x1) - x0))"
8,0.06930318,"tanh(sqrtabs(exp((x2 - x1) - x0)))"
9,0.06340196,"exp((x2 - exp(x1 + x0)) * 0.16291372)"
10,0.060291283,"exp((x2 - exp(x1 + tanh(x0))) * 0.19794148)"
11,0.059002493,"exp((x2 - exp((x0 * 0.6006933) + x1)) * 0.21607439)"
12,0.058536913,"exp((x2 - exp(x1 + tanh(x0 + -0.41752687))) * 0.2518274)"
13,0.057117224,"exp((x2 - (exp((x1 + x0) * 0.7078839) - 0.34662262)) * 0.2951352)"
14,0.05701852,"sqrtabs(exp(((x2 * 0.6143468) - exp((x0 + x1) * 0.5049647)) - -0.5346012))"
15,0.056708317,"exp(((x2 - exp((x1 + (x0 / 1.3693918)) * 0.8238535)) * 0.29642907) - -0.105548)"
16,0.056075025,"exp((x2 - (exp((x1 + x0) * 0.72049975) - sqrtabs(x1 * -0.22069184))) * 0.2916166)"
17,0.055550314,"exp(((x2 - exp((x1 + (x0 - 0.43723458)) * 0.80050373)) - (x1 * 0.28480378)) * 0.29382405)"
19,0.055450045,"exp(((x2 - exp((x0 + x1) - 1.0149167)) - ((x1 + (x0 - -1.2746978)) * 0.3036292)) * 0.2975074)"
20,0.054879434,"exp(((x2 - exp(x1 + tanh(x0 - 0.89993924))) - ((x0 + (x1 - -0.76829123)) * 0.28420505)) * 0.29483402)"
22,0.054841027,"exp(((x2 - exp(x1 + tanh(x0 - 0.88810253))) - (((x0 * 0.83286476) + (x1 - -0.6989561)) * 0.30610386)) * 0.2937705)"
23,0.05474688,"exp(((x2 - exp(tanh(x0 - 0.9436582) + x1)) - ((tanh(x0) * 0.42465112) + ((x1 - -0.69653434) * 0.31414744))) * 0.29755098)"
