Model,popsize,complexity,R2 Train,MSE Train,R2 Test,MSE Test
nii_6584_ew_mean,400,72,0.9965806007385254,0.00012122033671427321,0.9928170109750971,0.0002670153598976734
halpha_ew_mean,400,92,0.9991875290870667,0.00011511987355920889,0.9984210333714175,0.0002275421243864527
oiii_5007_ew_mean,400,78,0.9980389475822449,0.0002367106727028829,0.9951316135711732,0.000576963959222613
hbeta_ew_mean,400,68,0.999129593372345,0.00010049818974005128,0.9979938241465474,0.00023634823521667523
nii_6584_ew_std,400,85,0.8802525997161865,9.808481163704854e-05,0.7342659523065616,0.00027653922373494535
halpha_ew_std,400,83,0.9663088321685791,8.873572936871428e-05,0.8980339769467427,0.00029960915265324714
oiii_5007_ew_std,400,74,0.8897555470466614,0.00022356408645558378,0.759023066638643,0.0006091643126533461
hbeta_ew_std,400,80,0.9632008075714111,7.821795376294594e-05,0.9077997691481601,0.00021472028730021888
cov_nii_6584_ew_halpha_ew,400,63,0.9419788718223572,2.102988628767148e-05,0.8482735677723583,6.737795472880861e-05
cov_nii_6584_ew_oiii_5007_ew,400,70,0.9519911408424377,2.6669333341062084e-05,0.8523487953782505,9.201054337920556e-05
cov_nii_6584_ew_hbeta_ew,400,73,0.9225589632987976,1.6549958507156265e-05,0.8305101251016206,4.3612386916063935e-05
cov_halpha_ew_oiii_5007_ew,400,77,0.9641069173812866,2.7229946644874668e-05,0.8545013792835613,0.00011597837848861844
cov_halpha_ew_hbeta_ew,400,70,0.9665850400924683,2.1927057614086396e-05,0.9064615680937194,6.823746305736272e-05
cov_oiii_5007_ew_hbeta_ew,400,57,0.9555586576461792,2.8107345969844807e-05,0.8303305519833326,0.00011473794577653159
