Model,popsize,complexity,bic,R2 Train,MSE Train,R2 Test,MSE Test
oiii_5007_ew_std,100,36,-1178.4471435546875,0.8355194926261902,0.0002593934772907,0.6106016374507692,0.0007461585082337
hbeta_ew_std,100,43,-1304.619384765625,0.9855386018753052,0.0001011883852867,0.9590334383373372,0.0003039977912383
cov_nii_6584_ew_halpha_ew,100,41,-1519.6673583984375,0.9830411076545716,2.412698724762484e-05,0.9057603348562692,0.0001548488114921
cov_nii_6584_ew_oiii_5007_ew,100,43,-1497.708984375,0.961967706680298,2.887929242419876e-05,0.8866532433644905,0.0001014485310385
cov_nii_6584_ew_hbeta_ew,100,49,-1540.63720703125,0.9753608107566832,2.242868007412845e-05,0.922153717631704,7.984044384753657e-05
cov_halpha_ew_oiii_5007_ew,100,49,-1402.8355712890625,0.9642815589904784,5.6205720325628526e-05,0.8758309555752136,0.0002260197971774
cov_halpha_ew_hbeta_ew,100,45,-1461.8341064453125,0.9902999401092528,3.547705592747016e-05,0.9255893400586088,0.0002997313754924
cov_oiii_5007_ew_hbeta_ew,100,43,-1407.5303955078125,0.9557868838310242,5.2684201437953455e-05,0.8557592509709069,0.0001925906575743
nii_6584_ew_mean,700,44,-1288.7291259765625,0.9956059455871582,0.0001202687894343,0.9877256666083316,0.0003529545774588
halpha_ew_mean,700,40,-1263.6466064453125,0.9987843036651612,0.0001374886531639,0.9961129282380724,0.0004483903539501
oiii_5007_ew_mean,700,44,-1187.54345703125,0.997939944267273,0.0002283534609118,0.9934939311155366,0.000709951391174
hbeta_ew_mean,700,43,-1287.2960205078125,0.9987334609031676,0.000117434139939,0.9960356337701458,0.0003757021815192
nii_6584_ew_std,700,37,-1319.9002685546875,0.9506972432136536,9.770182391406874e-05,0.8388788521388825,0.0003257962637593
halpha_ew_std,700,38,-1314.3048095703125,0.9891642928123474,0.00010141518925,0.9622063611617324,0.0003758059993871
oiii_5007_ew_std,700,43,-1160.2685546875,0.8263269662857056,0.0002738905239658,0.6161385735206177,0.0007355487256681
hbeta_ew_std,700,39,-1305.9697265625,0.9851813912391664,0.0001036880641659,0.9590706411161783,0.0003037217230955
cov_nii_6584_ew_halpha_ew,700,41,-1519.16455078125,0.9829841256141664,2.420802039010377e-05,0.8764865207119225,0.0002029497392828
cov_nii_6584_ew_oiii_5007_ew,700,42,-1502.82080078125,0.9619933366775512,2.885981979489587e-05,0.8836878662876979,0.0001041026268181
cov_nii_6584_ew_hbeta_ew,700,41,-1537.9215087890625,0.9765321016311646,2.136249800545802e-05,0.9226055522614384,7.937703472527419e-05
cov_halpha_ew_oiii_5007_ew,700,41,-1396.9862060546875,0.9652613401412964,5.466398362079665e-05,0.8682159054000139,0.0002398811593556
cov_halpha_ew_hbeta_ew,700,43,-1444.45263671875,0.9891082048416138,3.983565122685145e-05,0.9590119546230552,0.0001651027316416
cov_oiii_5007_ew_hbeta_ew,700,45,-1403.792236328125,0.9546712636947632,5.401362620202336e-05,0.8623760854811121,0.0001837558413524
nii_6584_ew_mean,900,45,-1284.0966796875,0.9956169724464417,0.0001199658337158,0.9877661234390231,0.0003517912211179
halpha_ew_mean,900,45,-1255.336669921875,0.998715043067932,0.0001453203020735,0.9961382089861772,0.0004454741115226
oiii_5007_ew_mean,900,41,-1199.326171875,0.9979639649391174,0.0002256876467981,0.9932362079722652,0.0007380745032026
hbeta_ew_mean,900,45,-1285.0035400390625,0.9987139105796814,0.0001192426723824,0.9959404504067236,0.0003847226895169
nii_6584_ew_std,900,47,-1302.9598388671875,0.9483697414398192,0.0001023141507172,0.8440225349280588,0.0003153954401746
halpha_ew_std,900,43,-1305.3052978515625,0.989237904548645,0.0001007267546592,0.926791276750062,0.000727960531203
oiii_5007_ew_std,900,39,-1169.820556640625,0.8257829546928406,0.0002747484132256,0.6159179133891135,0.0007359715508527
hbeta_ew_std,900,41,-1308.5743408203125,0.9854364395141602,0.0001019031483982,0.958667744429364,0.0003067114712686
cov_nii_6584_ew_halpha_ew,900,41,-1519.3883056640625,0.9830095171928406,2.417193131611724e-05,0.9245129484906878,0.0001240356721496
cov_nii_6584_ew_oiii_5007_ew,900,42,-1497.8935546875,0.9620144963264464,2.8843783686845505e-05,0.8879877306484836,0.0001002541274343
cov_nii_6584_ew_hbeta_ew,900,43,-1533.180419921875,0.9757784605026244,2.204849131050352e-05,0.9216532156866044,8.035376697906711e-05
cov_halpha_ew_oiii_5007_ew,900,43,-1404.239501953125,0.9646142721176147,5.568211351929762e-05,0.870305834144351,0.0002360769481442
cov_halpha_ew_hbeta_ew,900,40,-1447.4686279296875,0.9889624118804932,4.03689366756704e-05,0.9590471571394515,0.0001649609334279
cov_oiii_5007_ew_hbeta_ew,900,39,-1415.304443359375,0.9565939903259276,5.1722462688811415e-05,0.855749310027826,0.0001926039307497
nii_6584_ew_mean,400,41,-1285.049072265625,0.995644748210907,0.0001192066707104,0.988043503577112,0.0003438150169273
halpha_ew_mean,400,45,-1259.3358154296875,0.99878990650177,0.0001368485534809,0.9962746608562464,0.0004297338046632
oiii_5007_ew_mean,400,41,-1191.32958984375,0.9979912638664246,0.0002226618523785,0.9934311862884736,0.0007167981949895
hbeta_ew_mean,400,39,-1283.983154296875,0.9986611604690552,0.0001241348160597,0.9959233408558068,0.0003863441581783
nii_6584_ew_std,400,45,-1311.7186279296875,0.951298177242279,9.6510957690472e-05,0.8450244512629915,0.0003133695074968
halpha_ew_std,400,43,-1314.9854736328125,0.9899104833602904,9.443165227552608e-05,0.9613218120291304,0.0003846016295779
oiii_5007_ew_std,400,45,-1161.3170166015625,0.8275368213653564,0.0002719824970864,0.6261487789347338,0.0007163673405949
hbeta_ew_std,400,45,-1308.6988525390625,0.9854485392570496,0.0001018185312083,0.959273685679409,0.0003022150040485
cov_nii_6584_ew_halpha_ew,400,43,-1519.8931884765625,0.982491374015808,2.490900969995941e-05,0.92877692112508,0.0001170293750277
cov_nii_6584_ew_oiii_5007_ew,400,43,-1498.9642333984375,0.9622846841812134,2.8638609955086066e-05,0.8811961620354357,0.0001063327721145
cov_nii_6584_ew_hbeta_ew,400,40,-1543.6761474609375,0.976648211479187,2.1256788931434437e-05,0.9196345683581594,8.242412530282368e-05
cov_halpha_ew_oiii_5007_ew,400,41,-1396.9906005859375,0.9652622938156128,5.466245047527544e-05,0.8699001126619286,0.0002368154662474
cov_halpha_ew_hbeta_ew,400,43,-1464.889892578125,0.9901726841926576,3.5942431781186444e-05,0.9566320324351149,0.0001746892257208
cov_oiii_5007_ew_hbeta_ew,400,41,-1405.0374755859375,0.956522822380066,5.180726543252482e-05,0.8570890664624006,0.000190815084155
nii_6584_ew_mean,600,46,-1283.10400390625,0.9955878853797911,0.0001207625298406,0.9880267906516303,0.0003442956054337
halpha_ew_mean,600,47,-1258.49365234375,0.9986990690231324,0.0001471272659549,0.996229548684126,0.000434937686676
oiii_5007_ew_mean,600,43,-1191.78466796875,0.9979974031448364,0.000221987208421,0.9934631893169172,0.0007133059794953
hbeta_ew_mean,600,38,-1288.6844482421875,0.9987024664878844,0.0001203044745472,0.9959606440073492,0.0003828089460916
nii_6584_ew_std,600,43,-1318.1837158203125,0.953352689743042,9.24396403982153e-05,0.840099142899088,0.0003233287653852
halpha_ew_std,600,43,-1305.1885986328125,0.9892295002937316,0.0001008051635654,0.9658495571912342,0.0003395794023481
oiii_5007_ew_std,600,43,-1163.2423095703125,0.8353297710418701,0.0002596926493018,0.6039916452145595,0.0007588244627439
hbeta_ew_std,600,43,-1303.6910400390625,0.9854488372802734,0.0001018166448175,0.9594581134722748,0.0003008464332093
cov_nii_6584_ew_halpha_ew,600,38,-1517.3359375,0.9821903109550476,2.5337331281100637e-05,0.9313070777815764,0.0001128719774971
cov_nii_6584_ew_oiii_5007_ew,600,42,-1499.764404296875,0.9624853134155272,2.848626037157394e-05,0.8839671094273187,0.0001038526963644
cov_nii_6584_ew_hbeta_ew,600,43,-1543.4268798828125,0.9766093492507936,2.129216714556513e-05,0.9192528209883872,8.281565176385662e-05
cov_halpha_ew_oiii_5007_ew,600,43,-1396.4591064453125,0.9651390314102172,5.485642167174141e-05,0.8691480088028182,0.0002381844899238
cov_halpha_ew_hbeta_ew,600,43,-1456.806396484375,0.9899693131446838,3.668631727797532e-05,0.955566917319998,0.0001789795843705
cov_oiii_5007_ew_hbeta_ew,600,40,-1408.5101318359375,0.9560747742652892,5.2341179500295005e-05,0.8550904082125369,0.000193483698324
nii_6584_ew_mean,500,43,-1280.14892578125,0.9956479668617249,0.0001191187742241,0.9877159862391748,0.0003532329413012
halpha_ew_mean,500,43,-1262.4749755859375,0.9987747669219972,0.0001385666883899,0.9963316134158344,0.0004231640833109
oiii_5007_ew_mean,500,40,-1193.7000732421875,0.9980227947235109,0.000219170623403,0.9932428473894692,0.0007373500006551
hbeta_ew_mean,500,42,-1282.262939453125,0.9986901879310608,0.0001214413391414,0.9959906493554532,0.0003799653453528
nii_6584_ew_std,500,47,-1308.1549072265625,0.9501273036003112,9.883131949283538e-05,0.8493328736376573,0.0003046576286964
halpha_ew_std,500,45,-1313.242919921875,0.9897925853729248,9.553509179134337e-05,0.963469758539132,0.0003632432420387
oiii_5007_ew_std,500,40,-1170.12451171875,0.8318474888801575,0.000265184432491,0.6155674286973716,0.0007366431436479
hbeta_ew_std,500,45,-1297.037109375,0.9842721223831176,0.0001100502332868,0.95951277102471,0.0003004408396095
cov_nii_6584_ew_halpha_ew,500,43,-1515.568603515625,0.981979250907898,2.5637598663392302e-05,0.9316903559105868,0.00011224219849
cov_nii_6584_ew_oiii_5007_ew,500,41,-1494.9970703125,0.9625461101531982,2.8440093876934304e-05,0.8852609678677434,0.0001026946567164
cov_nii_6584_ew_hbeta_ew,500,41,-1538.0418701171875,0.9757543802261353,2.207044507250617e-05,0.9193870420431056,8.267799241447769e-05
cov_halpha_ew_oiii_5007_ew,500,41,-1411.5428466796875,0.9674031734466552,5.12936046921758e-05,0.8615847839574957,0.0002519515165887
cov_halpha_ew_hbeta_ew,500,42,-1450.6002197265625,0.9884436130523682,4.226634802865435e-05,0.9586273520099572,0.0001666519380366
cov_oiii_5007_ew_hbeta_ew,500,43,-1407.2991943359375,0.9557186961174012,5.276545808337502e-05,0.8532918017851331,0.0001958852027318
nii_6584_ew_mean,800,39,-1289.0811767578125,0.9956162571907043,0.0001199868417831,0.987868184843825,0.0003488563945283
halpha_ew_mean,800,37,-1268.220458984375,0.9987807273864746,0.0001378895254457,0.9962373870285106,0.0004340335001242
oiii_5007_ew_mean,800,43,-1196.115234375,0.9979882836341858,0.0002229959722963,0.9932577499116756,0.0007357238164631
hbeta_ew_mean,800,43,-1287.358642578125,0.9986909627914428,0.0001213724115195,0.9958044158852032,0.0003976146534611
nii_6584_ew_std,800,41,-1314.605224609375,0.9506036639213562,9.788726024061091e-05,0.8493119280740902,0.0003046999818352
halpha_ew_std,800,39,-1309.444091796875,0.9891751408576964,0.000101313899454,0.9621506693525208,0.0003763597781886
oiii_5007_ew_std,800,39,-1162.5125732421875,0.8230940699577332,0.0002789889030479,0.6186227155345048,0.0007307886550628
hbeta_ew_std,800,45,-1303.563232421875,0.9854364395141602,0.0001019033625349,0.9600395900017208,0.0002965315096855
cov_nii_6584_ew_halpha_ew,800,42,-1523.572021484375,0.9823352694511414,2.513114949524074e-05,0.931183877659813,0.0001130744123466
cov_nii_6584_ew_oiii_5007_ew,800,43,-1497.4610595703125,0.9619048237800598,2.892706243820405e-05,0.8770988927073422,0.0001099999432533
cov_nii_6584_ew_hbeta_ew,800,41,-1536.191650390625,0.9762598872184752,2.1610283936937287e-05,0.916279561595324,8.586507612163062e-05
cov_halpha_ew_oiii_5007_ew,800,40,-1405.4874267578125,0.9649074673652648,5.522076598545605e-05,0.8646300422062396,0.0002464083584294
cov_halpha_ew_hbeta_ew,800,40,-1447.7794189453125,0.988985240459442,4.0285382805886014e-05,0.9596901548095232,0.0001623708935567
cov_oiii_5007_ew_hbeta_ew,800,45,-1403.0615234375,0.9559463262557985,5.249423859053283e-05,0.8605616199058845,0.0001861785209394
