Model,popsize,complexity,R2 Train,MSE Train,R2 Test,MSE Test
nii_6584_ew_mean,600,82,0.9965748190879822,0.00012142377598033062,0.9928326457446811,0.00026643416401766985
halpha_ew_mean,600,74,0.9991862773895264,0.00011529996757693896,0.9983902143515215,0.0002319833995417958
oiii_5007_ew_mean,600,57,0.9979733228683472,0.000244638441297893,0.9950716641059448,0.0005840687117555268
hbeta_ew_mean,600,81,0.9991098642349243,0.00010277688490718752,0.9980499481458497,0.0002297362484531167
nii_6584_ew_std,600,73,0.8835808038711548,9.53586894454407e-05,0.7405451447091747,0.0002700047092164888
halpha_ew_std,600,74,0.9666861891746521,8.774193334690005e-05,0.9038227850206689,0.0002825997623684517
oiii_5007_ew_std,600,53,0.8822910189628601,0.00023870132096070196,0.748114143089039,0.0006367409226765029
hbeta_ew_std,600,83,0.9616144299507141,8.158988453756455e-05,0.9076636936366613,0.0002150371864300104
cov_nii_6584_ew_halpha_ew,600,59,0.9432379007339478,2.057355837551303e-05,0.852076539381881,6.568914912533331e-05
cov_nii_6584_ew_oiii_5007_ew,600,71,0.9554054141044617,2.477266164939016e-05,0.8453481087958512,9.637310159960215e-05
cov_nii_6584_ew_hbeta_ew,600,73,0.9208850860595703,1.6907672188957595e-05,0.8213926035094616,4.595846735084632e-05
cov_halpha_ew_oiii_5007_ew,600,69,0.9610081315040588,2.9580805522734684e-05,0.8491761900069027,0.00012022313912216074
cov_halpha_ew_hbeta_ew,600,70,0.9644646048545837,2.331850725397489e-05,0.9042931183465022,6.981937443327436e-05
cov_oiii_5007_ew_hbeta_ew,600,70,0.9588071703910828,2.6052758021834667e-05,0.802918521686372,0.00013327516672351282
