Model,popsize,complexity,R2 Train,MSE Train,R2 Test,MSE Test
nii_6584_ew_mean,100,48,0.991459846496582,0.00013945329929563523,0.9694930252211822,0.00050804332157793
halpha_ew_mean,100,71,0.9968162178993225,0.0002235471844263849,0.9888186132184236,0.0007863764530450834
oiii_5007_ew_mean,100,74,0.9973785281181335,0.0002406215757648956,0.9888951807687169,0.0009905632369765246
hbeta_ew_mean,100,76,0.9971122741699219,0.00017351085912806327,0.9894361308371644,0.0006393782820213138
nii_6584_ew_std,100,98,0.9685235023498535,0.0001173502653336383,0.9207334115557779,0.0003330487251425427
halpha_ew_std,100,71,0.9702267050743103,0.00016937302862674988,0.9353854062038935,0.00039963585890242137
oiii_5007_ew_std,100,96,0.9368417859077454,0.0002032099951271628,0.8513816559791987,0.0005749106923104162
hbeta_ew_std,100,60,0.9606802463531494,0.0001402853892050064,0.9111093812840251,0.00034234730353775706
cov_nii_6584_ew_halpha_ew,100,77,0.9758049249649048,5.2920592179033635e-05,0.9348613336858596,0.000161356583187494
cov_nii_6584_ew_oiii_5007_ew,100,54,0.9069645404815674,4.755140817610539e-05,0.7823473660049955,0.00011187572231997997
cov_nii_6584_ew_hbeta_ew,100,80,0.969507098197937,4.0882982836911126e-05,0.9214445712519217,0.00011534800544032646
cov_halpha_ew_oiii_5007_ew,100,75,0.9503732323646545,7.420737539671868e-05,0.9022230926464807,0.00015954925503908524
cov_halpha_ew_hbeta_ew,100,56,0.9679902791976929,7.651277872366681e-05,0.9270002342648223,0.0001908603575395622
cov_oiii_5007_ew_hbeta_ew,100,61,0.9595818519592285,5.481938051486871e-05,0.8975745676847349,0.00014946929590381008
