Model,popsize,complexity,R2 Train,MSE Train,R2 Test,MSE Test
nii_6584_ew_mean,3000,78,0.995600163936615,0.00012042685146272086,0.9879406050808043,0.000346773914500609
halpha_ew_mean,3000,74,0.9987829923629761,0.00013763698272041886,0.9961970716721518,0.00043868404892153924
oiii_5007_ew_mean,3000,64,0.9980469346046448,0.00021649604216194524,0.9931135873633035,0.0007514550365884397
hbeta_ew_mean,3000,80,0.998668909072876,0.0001234147455806568,0.9958897934185705,0.0003895234419839654
nii_6584_ew_std,3000,78,0.9493201971054077,0.00010043067786896423,0.8473979831960992,0.00030857008888559163
halpha_ew_std,3000,71,0.9888684749603271,0.00010418388067404275,0.9646337647741104,0.0003516687935369944
oiii_5007_ew_std,3000,71,0.8257960677146912,0.00027472772617439254,0.6204786757449875,0.0007272322957270093
hbeta_ew_std,3000,65,0.9847975969314575,0.00010637359657903488,0.9599341408388474,0.0002973140091509595
cov_nii_6584_ew_halpha_ew,3000,74,0.981987714767456,2.5625568199914175e-05,0.9320290168909616,0.00011168573163258679
cov_nii_6584_ew_oiii_5007_ew,3000,74,0.9605506062507629,2.9955356286131495e-05,0.8843782570318253,0.00010348470770945914
cov_nii_6584_ew_hbeta_ew,3000,70,0.975843608379364,2.1989209669728705e-05,0.9197828231455065,8.227207272350692e-05
cov_halpha_ew_oiii_5007_ew,3000,66,0.9646005630493164,5.570369589271415e-05,0.8723288707388545,0.0002323944979579646
cov_halpha_ew_hbeta_ew,3000,69,0.9891477823257446,3.9690961581455494e-05,0.9589818591232255,0.00016522395843314254
cov_oiii_5007_ew_hbeta_ew,3000,76,0.955340564250946,5.32160677145888e-05,0.8593825402417988,0.0001877528314540766
