Model,popsize,complexity,R2 Train,MSE Train,R2 Test,MSE Test
nii_6584_ew_mean,4500,56,0.9958019852638245,0.00014882165151707257,0.9927320623296685,0.00027017318083451584
halpha_ew_mean,4500,46,0.9986280202865601,0.00019440153212505832,0.9979388797916674,0.0002970244350514821
oiii_5007_ew_mean,4500,49,0.9977548122406006,0.000271008918017703,0.9952355762003149,0.0005646431028161332
hbeta_ew_mean,4500,30,0.9987559914588928,0.0001436401355908555,0.9982253726264284,0.00020906943286601364
nii_6584_ew_std,4500,50,0.8722845315933228,0.00010461141430675557,0.7279151235501236,0.0002831482874572013
halpha_ew_std,4500,55,0.9612816572189331,0.0001019763426557569,0.9096637520083558,0.00026543711232626633
oiii_5007_ew_std,4500,43,0.8738236427307129,0.00025587228494841787,0.7696878115901483,0.0005822049604141629
hbeta_ew_std,4500,58,0.9547238945960999,9.623593659022854e-05,0.9114689014081602,0.0002061754374041733
cov_nii_6584_ew_halpha_ew,4500,53,0.9321134090423584,2.460564546408558e-05,0.8562854548786781,6.382007388486959e-05
cov_nii_6584_ew_oiii_5007_ew,4500,66,0.9412707686424255,3.262458301466079e-05,0.8700439197139588,8.098362348741013e-05
cov_nii_6584_ew_hbeta_ew,4500,43,0.9066129922866821,1.9957771696473543e-05,0.8302558876720303,4.367780616989539e-05
cov_halpha_ew_oiii_5007_ew,4500,36,0.952709436416626,3.587649107226507e-05,0.8674249823366271,0.00010567684766348261
cov_halpha_ew_hbeta_ew,4500,44,0.956609308719635,2.8473193936831153e-05,0.9094926114791287,6.60262787684881e-05
cov_oiii_5007_ew_hbeta_ew,4500,44,0.9399933218955994,3.795176556209892e-05,0.8478001186162363,0.00010292425620250354
