Model,popsize,complexity,bic,R2 Train,MSE Train,R2 Test,MSE Test
nii_6584_ew_mean,200,45,-1265.792724609375,0.9914178252220154,0.00014013932010490762,0.9696155941626419,0.0005060021381242139
halpha_ew_mean,200,49,-1190.79150390625,0.9969220161437988,0.00021612078475289443,0.9889187548200831,0.0007793335880540432
oiii_5007_ew_mean,200,47,-1144.5543212890625,0.9967953562736511,0.00029414856257107934,0.9897524989531137,0.0009140894233855231
hbeta_ew_mean,200,40,-1225.447021484375,0.9970481395721436,0.00017736403297277407,0.9894479264631524,0.0006386643516456771
nii_6584_ew_std,200,46,-1272.5740966796875,0.965252697467804,0.0001295445010976429,0.9271283263530459,0.0003061796714538759
halpha_ew_std,200,43,-1227.4417724609375,0.9702445864677429,0.00016927128108996923,0.9346430631697772,0.0004042271884861912
oiii_5007_ew_std,200,47,-1198.17724609375,0.9360564351081848,0.0002057369636687689,0.8524868270019079,0.0005706354822616605
hbeta_ew_std,200,44,-1259.1539306640625,0.9602925181388855,0.00014166876075482262,0.9065914549264562,0.0003597473388669958
cov_nii_6584_ew_halpha_ew,200,41,-1389.3912353515625,0.9728167653083801,5.945636683829335e-05,0.936242004770302,0.00015793648908214332
cov_nii_6584_ew_oiii_5007_ew,200,46,-1432.23291015625,0.9096034169197083,4.620262456699865e-05,0.7725029640269869,0.00011693584753823591
cov_nii_6584_ew_hbeta_ew,200,41,-1436.7296142578125,0.968718409538269,4.194040626591528e-05,0.9219492114423807,0.00011460700968278114
cov_halpha_ew_oiii_5007_ew,200,43,-1351.0574951171875,0.9486600756645203,7.676901285490096e-05,0.8962811254170088,0.0001692451686304326
cov_halpha_ew_hbeta_ew,200,42,-1347.6983642578125,0.9671557545661926,7.850760419373031e-05,0.9284247391486871,0.0001871359413210554
cov_oiii_5007_ew_hbeta_ew,200,41,-1380.73779296875,0.9535596370697021,6.298729896140984e-05,0.9105267167785963,0.00013056824211531547
