Model,popsize,complexity,R2 Train,MSE Train,R2 Test,MSE Test
nii_6584_ew_mean,2500,75,0.9956182241439819,0.00011993180919268973,0.9877525088909542,0.00035218271423674666
halpha_ew_mean,2500,71,0.9988395571708679,0.00013123615206045024,0.9962423071303954,0.00043346594532704306
oiii_5007_ew_mean,2500,69,0.9980275630950928,0.00021864198842324331,0.9933126677387399,0.0007297311059005707
hbeta_ew_mean,2500,60,0.9987061619758606,0.00011996076323771084,0.995987924375066,0.0003802235911900957
nii_6584_ew_std,2500,67,0.9485623836517334,0.00010193245068837998,0.8469946193051632,0.00030938571396241655
halpha_ew_std,2500,72,0.9892093539237976,0.00010099372569387432,0.963900805475516,0.0003589570703524956
oiii_5007_ew_std,2500,70,0.8287263512611389,0.00027010660760683924,0.6256180633858544,0.0007173842886880495
hbeta_ew_std,2500,76,0.9854937195777893,0.00010150253374912227,0.9581041214610339,0.0003108939100799091
cov_nii_6584_ew_halpha_ew,2500,53,0.9820811748504639,2.549258662556021e-05,0.9288770217400291,0.00011686489586461703
cov_nii_6584_ew_oiii_5007_ew,2500,76,0.9623408317565918,2.859596886284813e-05,0.8802946578099486,0.00010713964371915759
cov_nii_6584_ew_hbeta_ew,2500,76,0.976324737071991,2.155124544980048e-05,0.9226947572988109,7.928554455309669e-05
cov_halpha_ew_oiii_5007_ew,2500,75,0.9650893211364746,5.493462143068418e-05,0.873255014310305,0.00023070867696170773
cov_halpha_ew_hbeta_ew,2500,80,0.9895184636116028,3.833535515936829e-05,0.9521861063430661,0.00019259772893737186
cov_oiii_5007_ew_hbeta_ew,2500,72,0.9571757316589355,5.102926779675781e-05,0.851137890651657,0.00019876111099175007
